DATE,CPIAUCSL,HOUST,10yr tbill,sp total rtn,production
1/1/60,29.37,1460,4.72,19.0926291,24.1913
2/1/60,29.41,1503,4.49,19.3232831,24.1082
3/1/60,29.41,1109,4.25,19.110448,24.0806
4/1/60,29.54,1289,4.28,18.8316498,24.1082
5/1/60,29.57,1271,4.35,19.3935764,24.2743
6/1/60,29.61,1247,4.15,19.8287235,23.9975
7/1/60,29.55,1197,3.9,19.3940964,23.8591
8/1/60,29.61,1344,3.8,19.9574147,23.8591
9/1/60,29.61,1097,3.8,18.8090028,23.7207
10/1/60,29.75,1246,3.89,18.8202312,23.8314
11/1/60,29.78,1246,3.93,19.6353825,23.5547
12/1/60,29.81,1063,3.84,20.6014928,23.2502
1/1/61,29.84,1183,3.84,21.9599142,23.1948
2/1/61,29.84,1226,3.78,22.6074693,23.1948
3/1/61,29.84,1312,3.74,23.2423478,23.2225
4/1/61,29.81,1166,3.78,23.3894049,23.61
5/1/61,29.84,1228,3.71,23.894871,23.8038
6/1/61,29.84,1382,3.88,23.2672088,24.0252
7/1/61,29.92,1335,3.92,24.0854523,24.1913
8/1/61,29.94,1312,4.04,24.6170092,24.3573
9/1/61,29.98,1429,3.98,24.1915325,24.2466
10/1/61,29.98,1415,3.92,24.9376595,24.7172
11/1/61,29.98,1385,3.94,25.9800102,25.2154
12/1/61,30.01,1365,4.06,26.1250431,25.3815
1/1/62,30.04,1361,4.1,25.1975421,25.2431
2/1/62,30.11,1278,4,25.6698079,25.4922
3/1/62,30.17,1443,3.86,25.58168,25.7413
4/1/62,30.21,1524,3.86,24.0595787,25.9904
5/1/62,30.24,1483,3.9,22.0539142,26.1011
6/1/62,30.21,1404,4,20.312513,26.0734
7/1/62,30.22,1450,4.04,21.6678805,26.4056
8/1/62,30.28,1517,3.96,22.0635877,26.3502
9/1/62,30.42,1324,3.94,21.0647174,26.4609
10/1/62,30.38,1533,3.92,21.2247774,26.4886
11/1/62,30.38,1622,3.92,23.4469354,26.5993
12/1/62,30.38,1564,3.85,23.8302102,26.6824
1/1/63,30.44,1244,3.87,25.0686604,27.0699
2/1/63,30.48,1456,3.94,24.4131416,27.2913
3/1/63,30.51,1534,3.95,25.3469791,27.319
4/1/63,30.48,1689,3.95,26.6465877,27.4573
5/1/63,30.51,1641,3.96,27.0983924,27.4574
6/1/63,30.61,1588,4,26.6212052,27.5681
7/1/63,30.69,1614,4,26.5998479,27.5681
8/1/63,30.75,1639,4.02,27.9674605,27.8725
9/1/63,30.72,1763,4.07,27.7298451,27.9556
10/1/63,30.75,1779,4.15,28.6966998,28.1493
11/1/63,30.78,1622,4.08,28.4678504,28.2047
12/1/63,30.88,1491,4.14,29.2375866,28.3154
1/1/64,30.94,1603,4.15,30.1004049,28.6199
2/1/64,30.91,1820,4.18,30.4730856,28.5092
3/1/64,30.94,1517,4.23,31.011323,28.4538
4/1/64,30.95,1448,4.22,31.2777934,29.0904
5/1/64,30.98,1467,4.19,31.7140316,29.2288
6/1/64,31.01,1550,4.15,32.3130738,29.2011
7/1/64,31.02,1562,4.19,32.9827909,29.5333
8/1/64,31.05,1569,4.21,32.5280627,29.5056
9/1/64,31.08,1455,4.18,33.543073,29.3949
10/1/64,31.12,1524,4.16,33.8971577,29.0074
11/1/64,31.21,1486,4.2,33.80458,29.9485
12/1/64,31.25,1484,4.21,34.0201508,30.4743
1/1/65,31.28,1361,4.19,35.2333688,30.8065
2/1/65,31.28,1433,4.22,35.2666652,31.0003
3/1/65,31.31,1423,4.2,34.8401124,31.3878
4/1/65,31.38,1438,4.21,36.1209705,31.4431
5/1/65,31.48,1478,4.23,35.929387,31.7752
6/1/65,31.61,1488,4.2,34.2703896,31.9967
7/1/65,31.58,1529,4.22,34.8210502,32.1904
8/1/65,31.55,1432,4.27,35.6957865,32.2181
9/1/65,31.62,1482,4.35,36.9291487,32.661
10/1/65,31.65,1452,4.41,38.0319448,32.9378
11/1/65,31.75,1460,4.48,37.7919241,33.2423
12/1/65,31.85,1656,4.65,38.2236182,33.6021
1/1/66,31.88,1370,4.69,38.5054159,33.9896
2/1/66,32.08,1378,5.02,37.9133458,34.1003
3/1/66,32.18,1394,4.71,37.1826756,34.4324
4/1/66,32.28,1352,4.79,38.0435889,34.6815
